iter	Logloss
170	0.1765883678
171	0.1761739745
172	0.1756052811
173	0.1749955355
174	0.1744422458
175	0.1742504959
176	0.1738368644
177	0.1731060546
178	0.1722595374
179	0.1718903467
180	0.1717225677
181	0.1716662395
182	0.1716469972
183	0.1713304762
184	0.170804572
185	0.1704157718
186	0.1700939077
187	0.1697484469
188	0.1695638587
189	0.1688570963
190	0.1684062242
191	0.1682791124
192	0.1681564991
193	0.1676880023
194	0.1675232522
195	0.1668926531
196	0.1661439558
197	0.1658239033
198	0.165509087
199	0.1650386186
200	0.1643539325
201	0.1637186126
202	0.163349458
203	0.16310173
204	0.1628592343
205	0.1623178638
206	0.1620614495
207	0.1616457198
208	0.1614448292
209	0.1612560925
210	0.1607259772
211	0.160597552
212	0.1603569315
213	0.1596778527
214	0.1588676816
215	0.1584407141
216	0.157939756
217	0.1576662895
218	0.1568331294
219	0.1564721619
220	0.1560675905
221	0.1556675927
222	0.1555203959
223	0.1551916211
224	0.1547867079
225	0.1543251459
226	0.153897353
227	0.1536711072
228	0.1534998134
229	0.1531115801
230	0.1527339487
231	0.1522455674
232	0.1518401544
233	0.1515496097
234	0.1511381616
235	0.1507819016
236	0.1502561684
237	0.149315318
238	0.1487278372
239	0.1483474771
240	0.1477782657
241	0.1476105186
242	0.1469900751
243	0.1466863551
244	0.1464838789
245	0.146046297
246	0.1457872385
247	0.1452793895
248	0.1448830757
249	0.1441174285
250	0.1434727387
251	0.1430973954
252	0.1425877251
253	0.1422341484
254	0.1415484149
255	0.1412281193
256	0.1408373762
257	0.1402594329
258	0.1399935806
259	0.1394387675
260	0.1391381281
261	0.1383770518
262	0.1379701932
263	0.1375772893
264	0.1372291632
265	0.1370458174
266	0.1367142762
267	0.136268909
268	0.1360701158
269	0.1354711806
270	0.1351309863
271	0.1345732636
272	0.1342937375
273	0.1339063488
274	0.1334691134
275	0.133117238
276	0.1326604001
277	0.1323983806
278	0.1322255518
279	0.1318788557
280	0.1314584737
281	0.1310715148
282	0.1309456514
283	0.1305362174
284	0.1301063187
285	0.1295347444
286	0.1291604504
287	0.1288650219
288	0.1286211528
289	0.1282030044
290	0.1276795197
291	0.1276260786
292	0.1273454152
293	0.1271348314
294	0.1268944961
295	0.1265594427
296	0.1262681634
297	0.1257553515
298	0.1253258652
299	0.1250070639
300	0.1247864936
301	0.1242415475
302	0.1240159146
303	0.1234989169
304	0.1232959472
305	0.122897819
306	0.1223067689
307	0.1220321117
308	0.1214918322
309	0.1209121041
310	0.1205304209
311	0.1198868998
312	0.119486515
313	0.1192816917
314	0.1190463199
315	0.1186334639
316	0.1180868166
317	0.1175467904
318	0.1169517564
319	0.1167683688
320	0.116363539
321	0.1162643996
322	0.1158759658
323	0.1156714871
324	0.1154546696
325	0.1147946311
326	0.1145295069
327	0.1142691583
328	0.1139422538
329	0.113752518
330	0.1135808552
331	0.11323776
332	0.1130728079
333	0.1128382467
334	0.1124845089
335	0.1124048261
336	0.1120834113
337	0.1115274912
338	0.1111405847
339	0.1110857319
340	0.1108835981
341	0.1107391312
342	0.1104941863
343	0.1100491616
344	0.109877659
345	0.1095594676
346	0.1093254645
347	0.1091009833
348	0.1086844164
349	0.1084066506
350	0.1078483424
351	0.1077014862
352	0.1075564896
353	0.1072975044
354	0.1071734523
355	0.1070625498
356	0.1067880097
357	0.106531047
358	0.1063695314
359	0.1061672123
360	0.1060806755
361	0.1059643619
362	0.105790793
363	0.1056794485
364	0.1055809463
365	0.1053573446
366	0.1051169556
367	0.1050056951
368	0.1048968679
369	0.1048176986
370	0.1044094372
371	0.1041911843
372	0.1040270055
373	0.1038915958
374	0.1035568799
375	0.1032163917
376	0.102967859
377	0.1028480281
378	0.1025828769
379	0.1025005268
380	0.1023043622
381	0.1020964176
382	0.1018804975
383	0.1016954179
384	0.1015484016
385	0.1013982199
386	0.1011316505
387	0.1008346452
388	0.1006237029
389	0.1004942548
390	0.1000115551
391	0.09984259629
392	0.09971287577
393	0.09952840468
394	0.09938518801
395	0.09928925502
396	0.09921036712
397	0.09912338544
398	0.09890413936
399	0.0987448422
400	0.09865404917
401	0.0983647526
402	0.098237498
403	0.0980988595
404	0.09777436776
405	0.09747225874
406	0.09738688802
407	0.09729322398
408	0.09707883561
409	0.09691397084
410	0.09653850547
411	0.09634341716
